emoji,name,shortname
🦹🏻‍♀,woman_supervillain:light_skin_tone,:woman_supervillain:light_skin_tone:
🦹🏼‍♀️,woman_supervillain:medium-light_skin_tone,:woman_supervillain:medium-light_skin_tone:
🦹🏼‍♀,woman_supervillain:medium-light_skin_tone,:woman_supervillain:medium-light_skin_tone:
🦹🏽‍♀️,woman_supervillain:medium_skin_tone,:woman_supervillain:medium_skin_tone:
🦹🏽‍♀,woman_supervillain:medium_skin_tone,:woman_supervillain:medium_skin_tone:
🦹🏾‍♀️,woman_supervillain:medium-dark_skin_tone,:woman_supervillain:medium-dark_skin_tone:
🦹🏾‍♀,woman_supervillain:medium-dark_skin_tone,:woman_supervillain:medium-dark_skin_tone:
🦹🏿‍♀️,woman_supervillain:dark_skin_tone,:woman_supervillain:dark_skin_tone:
🦹🏿‍♀,woman_supervillain:dark_skin_tone,:woman_supervillain:dark_skin_tone:
🦹‍♂️,man_supervillain,:man_supervillain:
🦹‍♂,man_supervillain,:man_supervillain:
🦹🏻‍♂️,man_supervillain:light_skin_tone,:man_supervillain:light_skin_tone:
🦹🏻‍♂,man_supervillain:light_skin_tone,:man_supervillain:light_skin_tone:
🦹🏼‍♂️,man_supervillain:medium-light_skin_tone,:man_supervillain:medium-light_skin_tone:
🦹🏼‍♂,man_supervillain:medium-light_skin_tone,:man_supervillain:medium-light_skin_tone:
🦹🏽‍♂️,man_supervillain:medium_skin_tone,:man_supervillain:medium_skin_tone:
🦹🏽‍♂,man_supervillain:medium_skin_tone,:man_supervillain:medium_skin_tone:
🦹🏾‍♂️,man_supervillain:medium-dark_skin_tone,:man_supervillain:medium-dark_skin_tone:
🦹🏾‍♂,man_supervillain:medium-dark_skin_tone,:man_supervillain:medium-dark_skin_tone:
🦹🏿‍♂️,man_supervillain:dark_skin_tone,:man_supervillain:dark_skin_tone:
🦹🏿‍♂,man_supervillain:dark_skin_tone,:man_supervillain:dark_skin_tone:
🧙,mage,:mage:
🧙🏻,mage:light_skin_tone,:mage:light_skin_tone:
🧙🏼,mage:medium-light_skin_tone,:mage:medium-light_skin_tone:
🧙🏽,mage:medium_skin_tone,:mage:medium_skin_tone:
🧙🏾,mage:medium-dark_skin_tone,:mage:medium-dark_skin_tone:
🧙🏿,mage:dark_skin_tone,:mage:dark_skin_tone:
🧙‍♀️,woman_mage,:woman_mage:
🧙‍♀,woman_mage,:woman_mage:
🧙🏻‍♀️,woman_mage:light_skin_tone,:woman_mage:light_skin_tone:
🧙🏻‍♀,woman_mage:light_skin_tone,:woman_mage:light_skin_tone:
🧙🏼‍♀️,woman_mage:medium-light_skin_tone,:woman_mage:medium-light_skin_tone:
🧙🏼‍♀,woman_mage:medium-light_skin_tone,:woman_mage:medium-light_skin_tone:
🧙🏽‍♀️,woman_mage:medium_skin_tone,:woman_mage:medium_skin_tone:
🧙🏽‍♀,woman_mage:medium_skin_tone,:woman_mage:medium_skin_tone:
🧙🏾‍♀️,woman_mage:medium-dark_skin_tone,:woman_mage:medium-dark_skin_tone:
🧙🏾‍♀,woman_mage:medium-dark_skin_tone,:woman_mage:medium-dark_skin_tone:
🧙🏿‍♀️,woman_mage:dark_skin_tone,:woman_mage:dark_skin_tone:
🧙🏿‍♀,woman_mage:dark_skin_tone,:woman_mage:dark_skin_tone:
🧙‍♂️,man_mage,:man_mage:
🧙‍♂,man_mage,:man_mage:
🧙🏻‍♂️,man_mage:light_skin_tone,:man_mage:light_skin_tone:
🧙🏻‍♂,man_mage:light_skin_tone,:man_mage:light_skin_tone:
🧙🏼‍♂️,man_mage:medium-light_skin_tone,:man_mage:medium-light_skin_tone:
🧙🏼‍♂,man_mage:medium-light_skin_tone,:man_mage:medium-light_skin_tone:
🧙🏽‍♂️,man_mage:medium_skin_tone,:man_mage:medium_skin_tone:
🧙🏽‍♂,man_mage:medium_skin_tone,:man_mage:medium_skin_tone:
🧙🏾‍♂️,man_mage:medium-dark_skin_tone,:man_mage:medium-dark_skin_tone:
🧙🏾‍♂,man_mage:medium-dark_skin_tone,:man_mage:medium-dark_skin_tone:
🧙🏿‍♂️,man_mage:dark_skin_tone,:man_mage:dark_skin_tone:
🧙🏿‍♂,man_mage:dark_skin_tone,:man_mage:dark_skin_tone:
🧚,fairy,:fairy:
🧚🏻,fairy:light_skin_tone,:fairy:light_skin_tone:
🧚🏼,fairy:medium-light_skin_tone,:fairy:medium-light_skin_tone:
🧚🏽,fairy:medium_skin_tone,:fairy:medium_skin_tone:
🧚🏾,fairy:medium-dark_skin_tone,:fairy:medium-dark_skin_tone:
🧚🏿,fairy:dark_skin_tone,:fairy:dark_skin_tone:
🧚‍♀️,woman_fairy,:woman_fairy:
🧚‍♀,woman_fairy,:woman_fairy:
🧚🏻‍♀️,woman_fairy:light_skin_tone,:woman_fairy:light_skin_tone:
