emoji,name,shortname
😀,grinning_face,:grinning_face:
😁,beaming_face_with_smiling_eyes,:beaming_face_with_smiling_eyes:
😂,face_with_tears_of_joy,:face_with_tears_of_joy:
🤣,rolling_on_the_floor_laughing,:rolling_on_the_floor_laughing:
😃,grinning_face_with_big_eyes,:grinning_face_with_big_eyes:
😄,grinning_face_with_smiling_eyes,:grinning_face_with_smiling_eyes:
😅,grinning_face_with_sweat,:grinning_face_with_sweat:
😆,grinning_squinting_face,:grinning_squinting_face:
😉,winking_face,:winking_face:
😊,smiling_face_with_smiling_eyes,:smiling_face_with_smiling_eyes:
😋,face_savoring_food,:face_savoring_food:
😎,smiling_face_with_sunglasses,:smiling_face_with_sunglasses:
😍,smiling_face_with_heart-eyes,:smiling_face_with_heart-eyes:
😘,face_blowing_a_kiss,:face_blowing_a_kiss:
🥰,smiling_face_with_3_hearts,:smiling_face_with_3_hearts:
😗,kissing_face,:kissing_face:
😙,kissing_face_with_smiling_eyes,:kissing_face_with_smiling_eyes:
😚,kissing_face_with_closed_eyes,:kissing_face_with_closed_eyes:
☺️,smiling_face,:smiling_face:
☺,smiling_face,:smiling_face:
🙂,slightly_smiling_face,:slightly_smiling_face:
🤗,hugging_face,:hugging_face:
🤩,star-struck,:star-struck:
🤔,thinking_face,:thinking_face:
🤨,face_with_raised_eyebrow,:face_with_raised_eyebrow:
😐,neutral_face,:neutral_face:
😑,expressionless_face,:expressionless_face:
😶,face_without_mouth,:face_without_mouth:
🙄,face_with_rolling_eyes,:face_with_rolling_eyes:
😏,smirking_face,:smirking_face:
😣,persevering_face,:persevering_face:
😥,sad_but_relieved_face,:sad_but_relieved_face:
😮,face_with_open_mouth,:face_with_open_mouth:
🤐,zipper-mouth_face,:zipper-mouth_face:
😯,hushed_face,:hushed_face:
😪,sleepy_face,:sleepy_face:
😫,tired_face,:tired_face:
😴,sleeping_face,:sleeping_face:
😌,relieved_face,:relieved_face:
😛,face_with_tongue,:face_with_tongue:
😜,winking_face_with_tongue,:winking_face_with_tongue:
😝,squinting_face_with_tongue,:squinting_face_with_tongue:
🤤,drooling_face,:drooling_face:
😒,unamused_face,:unamused_face:
😓,downcast_face_with_sweat,:downcast_face_with_sweat:
😔,pensive_face,:pensive_face:
😕,confused_face,:confused_face:
🙃,upside-down_face,:upside-down_face:
🤑,money-mouth_face,:money-mouth_face:
😲,astonished_face,:astonished_face:
☹️,frowning_face,:frowning_face:
☹,frowning_face,:frowning_face:
🙁,slightly_frowning_face,:slightly_frowning_face:
😖,confounded_face,:confounded_face:
😞,disappointed_face,:disappointed_face:
😟,worried_face,:worried_face:
😤,face_with_steam_from_nose,:face_with_steam_from_nose:
😢,crying_face,:crying_face:
😭,loudly_crying_face,:loudly_crying_face:
😦,frowning_face_with_open_mouth,:frowning_face_with_open_mouth:
😧,anguished_face,:anguished_face:
😨,fearful_face,:fearful_face:
😩,weary_face,:weary_face:
🤯,exploding_head,:exploding_head:
😬,grimacing_face,:grimacing_face:
😰,anxious_face_with_sweat,:anxious_face_with_sweat:
😱,face_screaming_in_fear,:face_screaming_in_fear:
🥵,hot_face,:hot_face:
🥶,cold_face,:cold_face:
😳,flushed_face,:flushed_face:
🤪,zany_face,:zany_face:
😵,dizzy_face,:dizzy_face:
😡,pouting_face,:pouting_face:
😠,angry_face,:angry_face:
🤬,face_with_symbols_on_mouth,:face_with_symbols_on_mouth:
😷,face_with_medical_mask,:face_with_medical_mask:
🤒,face_with_thermometer,:face_with_thermometer:
🤕,face_with_head-bandage,:face_with_head-bandage:
🤢,nauseated_face,:nauseated_face:
🤮,face_vomiting,:face_vomiting:
🤧,sneezing_face,:sneezing_face:
😇,smiling_face_with_halo,:smiling_face_with_halo:
🤠,cowboy_hat_face,:cowboy_hat_face:
🥳,partying_face,:partying_face:
🥴,woozy_face,:woozy_face:
🥺,pleading_face,:pleading_face:
🤥,lying_face,:lying_face:
🤫,shushing_face,:shushing_face:
🤭,face_with_hand_over_mouth,:face_with_hand_over_mouth:
🧐,face_with_monocle,:face_with_monocle:
🤓,nerd_face,:nerd_face:
😈,smiling_face_with_horns,:smiling_face_with_horns:
👿,angry_face_with_horns,:angry_face_with_horns:
🤡,clown_face,:clown_face:
👹,ogre,:ogre:
👺,goblin,:goblin:
💀,skull,:skull:
☠️,skull_and_crossbones,:skull_and_crossbones:
☠,skull_and_crossbones,:skull_and_crossbones:
👻,ghost,:ghost:
👽,alien,:alien:
👾,alien_monster,:alien_monster:
🤖,robot_face,:robot_face:
💩,pile_of_poo,:pile_of_poo:
😺,grinning_cat_face,:grinning_cat_face:
😸,grinning_cat_face_with_smiling_eyes,:grinning_cat_face_with_smiling_eyes:
😹,cat_face_with_tears_of_joy,:cat_face_with_tears_of_joy:
😻,smiling_cat_face_with_heart-eyes,:smiling_cat_face_with_heart-eyes:
😼,cat_face_with_wry_smile,:cat_face_with_wry_smile:
😽,kissing_cat_face,:kissing_cat_face:
🙀,weary_cat_face,:weary_cat_face:
😿,crying_cat_face,:crying_cat_face:
😾,pouting_cat_face,:pouting_cat_face:
🙈,see-no-evil_monkey,:see-no-evil_monkey:
🙉,hear-no-evil_monkey,:hear-no-evil_monkey:
🙊,speak-no-evil_monkey,:speak-no-evil_monkey:
🏻,light_skin_tone,:light_skin_tone:
🏼,medium-light_skin_tone,:medium-light_skin_tone:
🏽,medium_skin_tone,:medium_skin_tone:
🏾,medium-dark_skin_tone,:medium-dark_skin_tone:
🏿,dark_skin_tone,:dark_skin_tone:
👶,baby,:baby:
👶🏻,baby:light_skin_tone,:baby:light_skin_tone:
👶🏼,baby:medium-light_skin_tone,:baby:medium-light_skin_tone:
👶🏽,baby:medium_skin_tone,:baby:medium_skin_tone:
👶🏾,baby:medium-dark_skin_tone,:baby:medium-dark_skin_tone:
👶🏿,baby:dark_skin_tone,:baby:dark_skin_tone:
🧒,child,:child:
🧒🏻,child:light_skin_tone,:child:light_skin_tone:
🧒🏼,child:medium-light_skin_tone,:child:medium-light_skin_tone:
🧒🏽,child:medium_skin_tone,:child:medium_skin_tone:
🧒🏾,child:medium-dark_skin_tone,:child:medium-dark_skin_tone:
🧒🏿,child:dark_skin_tone,:child:dark_skin_tone:
👦,boy,:boy:
👦🏻,boy:light_skin_tone,:boy:light_skin_tone:
👦🏼,boy:medium-light_skin_tone,:boy:medium-light_skin_tone:
👦🏽,boy:medium_skin_tone,:boy:medium_skin_tone:
👦🏾,boy:medium-dark_skin_tone,:boy:medium-dark_skin_tone:
👦🏿,boy:dark_skin_tone,:boy:dark_skin_tone:
👧,girl,:girl:
👧🏻,girl:light_skin_tone,:girl:light_skin_tone:
👧🏼,girl:medium-light_skin_tone,:girl:medium-light_skin_tone:
👧🏽,girl:medium_skin_tone,:girl:medium_skin_tone:
👧🏾,girl:medium-dark_skin_tone,:girl:medium-dark_skin_tone:
👧🏿,girl:dark_skin_tone,:girl:dark_skin_tone:
🧑,adult,:adult:
🧑🏻,adult:light_skin_tone,:adult:light_skin_tone:
🧑🏼,adult:medium-light_skin_tone,:adult:medium-light_skin_tone:
🧑🏽,adult:medium_skin_tone,:adult:medium_skin_tone:
🧑🏾,adult:medium-dark_skin_tone,:adult:medium-dark_skin_tone:
🧑🏿,adult:dark_skin_tone,:adult:dark_skin_tone:
👨,man,:man:
👨🏻,man:light_skin_tone,:man:light_skin_tone:
👨🏼,man:medium-light_skin_tone,:man:medium-light_skin_tone:
👨🏽,man:medium_skin_tone,:man:medium_skin_tone:
👨🏾,man:medium-dark_skin_tone,:man:medium-dark_skin_tone:
👨🏿,man:dark_skin_tone,:man:dark_skin_tone:
👩,woman,:woman:
👩🏻,woman:light_skin_tone,:woman:light_skin_tone:
👩🏼,woman:medium-light_skin_tone,:woman:medium-light_skin_tone:
👩🏽,woman:medium_skin_tone,:woman:medium_skin_tone:
👩🏾,woman:medium-dark_skin_tone,:woman:medium-dark_skin_tone:
👩🏿,woman:dark_skin_tone,:woman:dark_skin_tone:
🧓,older_adult,:older_adult:
🧓🏻,older_adult:light_skin_tone,:older_adult:light_skin_tone:
🧓🏼,older_adult:medium-light_skin_tone,:older_adult:medium-light_skin_tone:
🧓🏽,older_adult:medium_skin_tone,:older_adult:medium_skin_tone:
🧓🏾,older_adult:medium-dark_skin_tone,:older_adult:medium-dark_skin_tone:
🧓🏿,older_adult:dark_skin_tone,:older_adult:dark_skin_tone:
👴,old_man,:old_man:
👴🏻,old_man:light_skin_tone,:old_man:light_skin_tone:
👴🏼,old_man:medium-light_skin_tone,:old_man:medium-light_skin_tone:
👴🏽,old_man:medium_skin_tone,:old_man:medium_skin_tone:
👴🏾,old_man:medium-dark_skin_tone,:old_man:medium-dark_skin_tone:
👴🏿,old_man:dark_skin_tone,:old_man:dark_skin_tone:
👵,old_woman,:old_woman:
👵🏻,old_woman:light_skin_tone,:old_woman:light_skin_tone:
👵🏼,old_woman:medium-light_skin_tone,:old_woman:medium-light_skin_tone:
👵🏽,old_woman:medium_skin_tone,:old_woman:medium_skin_tone:
👵🏾,old_woman:medium-dark_skin_tone,:old_woman:medium-dark_skin_tone:
👵🏿,old_woman:dark_skin_tone,:old_woman:dark_skin_tone:
👨‍⚕️,man_health_worker,:man_health_worker:
👨‍⚕,man_health_worker,:man_health_worker:
👨🏻‍⚕️,man_health_worker:light_skin_tone,:man_health_worker:light_skin_tone:
👨🏻‍⚕,man_health_worker:light_skin_tone,:man_health_worker:light_skin_tone:
👨🏼‍⚕️,man_health_worker:medium-light_skin_tone,:man_health_worker:medium-light_skin_tone:
👨🏼‍⚕,man_health_worker:medium-light_skin_tone,:man_health_worker:medium-light_skin_tone:
👨🏽‍⚕️,man_health_worker:medium_skin_tone,:man_health_worker:medium_skin_tone:
👨🏽‍⚕,man_health_worker:medium_skin_tone,:man_health_worker:medium_skin_tone:
👨🏾‍⚕️,man_health_worker:medium-dark_skin_tone,:man_health_worker:medium-dark_skin_tone:
👨🏾‍⚕,man_health_worker:medium-dark_skin_tone,:man_health_worker:medium-dark_skin_tone:
👨🏿‍⚕️,man_health_worker:dark_skin_tone,:man_health_worker:dark_skin_tone:
👨🏿‍⚕,man_health_worker:dark_skin_tone,:man_health_worker:dark_skin_tone:
👩‍⚕️,woman_health_worker,:woman_health_worker:
👩‍⚕,woman_health_worker,:woman_health_worker:
👩🏻‍⚕️,woman_health_worker:light_skin_tone,:woman_health_worker:light_skin_tone:
👩🏻‍⚕,woman_health_worker:light_skin_tone,:woman_health_worker:light_skin_tone:
👩🏼‍⚕️,woman_health_worker:medium-light_skin_tone,:woman_health_worker:medium-light_skin_tone:
👩🏼‍⚕,woman_health_worker:medium-light_skin_tone,:woman_health_worker:medium-light_skin_tone:
👩🏽‍⚕️,woman_health_worker:medium_skin_tone,:woman_health_worker:medium_skin_tone:
👩🏽‍⚕,woman_health_worker:medium_skin_tone,:woman_health_worker:medium_skin_tone:
👩🏾‍⚕️,woman_health_worker:medium-dark_skin_tone,:woman_health_worker:medium-dark_skin_tone:
👩🏾‍⚕,woman_health_worker:medium-dark_skin_tone,:woman_health_worker:medium-dark_skin_tone:
👩🏿‍⚕️,woman_health_worker:dark_skin_tone,:woman_health_worker:dark_skin_tone:
👩🏿‍⚕,woman_health_worker:dark_skin_tone,:woman_health_worker:dark_skin_tone:
👨‍🎓,man_student,:man_student:
👨🏻‍🎓,man_student:light_skin_tone,:man_student:light_skin_tone:
👨🏼‍🎓,man_student:medium-light_skin_tone,:man_student:medium-light_skin_tone:
👨🏽‍🎓,man_student:medium_skin_tone,:man_student:medium_skin_tone:
👨🏾‍🎓,man_student:medium-dark_skin_tone,:man_student:medium-dark_skin_tone:
👨🏿‍🎓,man_student:dark_skin_tone,:man_student:dark_skin_tone:
👩‍🎓,woman_student,:woman_student:
👩🏻‍🎓,woman_student:light_skin_tone,:woman_student:light_skin_tone:
👩🏼‍🎓,woman_student:medium-light_skin_tone,:woman_student:medium-light_skin_tone:
👩🏽‍🎓,woman_student:medium_skin_tone,:woman_student:medium_skin_tone:
👩🏾‍🎓,woman_student:medium-dark_skin_tone,:woman_student:medium-dark_skin_tone:
👩🏿‍🎓,woman_student:dark_skin_tone,:woman_student:dark_skin_tone:
👨‍🏫,man_teacher,:man_teacher:
👨🏻‍🏫,man_teacher:light_skin_tone,:man_teacher:light_skin_tone:
👨🏼‍🏫,man_teacher:medium-light_skin_tone,:man_teacher:medium-light_skin_tone:
👨🏽‍🏫,man_teacher:medium_skin_tone,:man_teacher:medium_skin_tone:
👨🏾‍🏫,man_teacher:medium-dark_skin_tone,:man_teacher:medium-dark_skin_tone:
👨🏿‍🏫,man_teacher:dark_skin_tone,:man_teacher:dark_skin_tone:
👩‍🏫,woman_teacher,:woman_teacher:
👩🏻‍🏫,woman_teacher:light_skin_tone,:woman_teacher:light_skin_tone:
👩🏼‍🏫,woman_teacher:medium-light_skin_tone,:woman_teacher:medium-light_skin_tone:
👩🏽‍🏫,woman_teacher:medium_skin_tone,:woman_teacher:medium_skin_tone:
👩🏾‍🏫,woman_teacher:medium-dark_skin_tone,:woman_teacher:medium-dark_skin_tone:
👩🏿‍🏫,woman_teacher:dark_skin_tone,:woman_teacher:dark_skin_tone:
👨‍⚖️,man_judge,:man_judge:
👨‍⚖,man_judge,:man_judge:
👨🏻‍⚖️,man_judge:light_skin_tone,:man_judge:light_skin_tone:
👨🏻‍⚖,man_judge:light_skin_tone,:man_judge:light_skin_tone:
👨🏼‍⚖️,man_judge:medium-light_skin_tone,:man_judge:medium-light_skin_tone:
👨🏼‍⚖,man_judge:medium-light_skin_tone,:man_judge:medium-light_skin_tone:
👨🏽‍⚖️,man_judge:medium_skin_tone,:man_judge:medium_skin_tone:
👨🏽‍⚖,man_judge:medium_skin_tone,:man_judge:medium_skin_tone:
👨🏾‍⚖️,man_judge:medium-dark_skin_tone,:man_judge:medium-dark_skin_tone:
👨🏾‍⚖,man_judge:medium-dark_skin_tone,:man_judge:medium-dark_skin_tone:
👨🏿‍⚖️,man_judge:dark_skin_tone,:man_judge:dark_skin_tone:
👨🏿‍⚖,man_judge:dark_skin_tone,:man_judge:dark_skin_tone:
👩‍⚖️,woman_judge,:woman_judge:
👩‍⚖,woman_judge,:woman_judge:
👩🏻‍⚖️,woman_judge:light_skin_tone,:woman_judge:light_skin_tone:
👩🏻‍⚖,woman_judge:light_skin_tone,:woman_judge:light_skin_tone:
👩🏼‍⚖️,woman_judge:medium-light_skin_tone,:woman_judge:medium-light_skin_tone:
👩🏼‍⚖,woman_judge:medium-light_skin_tone,:woman_judge:medium-light_skin_tone:
👩🏽‍⚖️,woman_judge:medium_skin_tone,:woman_judge:medium_skin_tone:
👩🏽‍⚖,woman_judge:medium_skin_tone,:woman_judge:medium_skin_tone:
👩🏾‍⚖️,woman_judge:medium-dark_skin_tone,:woman_judge:medium-dark_skin_tone:
👩🏾‍⚖,woman_judge:medium-dark_skin_tone,:woman_judge:medium-dark_skin_tone:
👩🏿‍⚖️,woman_judge:dark_skin_tone,:woman_judge:dark_skin_tone:
👩🏿‍⚖,woman_judge:dark_skin_tone,:woman_judge:dark_skin_tone:
👨‍🌾,man_farmer,:man_farmer:
👨🏻‍🌾,man_farmer:light_skin_tone,:man_farmer:light_skin_tone:
👨🏼‍🌾,man_farmer:medium-light_skin_tone,:man_farmer:medium-light_skin_tone:
👨🏽‍🌾,man_farmer:medium_skin_tone,:man_farmer:medium_skin_tone:
👨🏾‍🌾,man_farmer:medium-dark_skin_tone,:man_farmer:medium-dark_skin_tone:
👨🏿‍🌾,man_farmer:dark_skin_tone,:man_farmer:dark_skin_tone:
👩‍🌾,woman_farmer,:woman_farmer:
👩🏻‍🌾,woman_farmer:light_skin_tone,:woman_farmer:light_skin_tone:
👩🏼‍🌾,woman_farmer:medium-light_skin_tone,:woman_farmer:medium-light_skin_tone:
👩🏽‍🌾,woman_farmer:medium_skin_tone,:woman_farmer:medium_skin_tone:
👩🏾‍🌾,woman_farmer:medium-dark_skin_tone,:woman_farmer:medium-dark_skin_tone:
👩🏿‍🌾,woman_farmer:dark_skin_tone,:woman_farmer:dark_skin_tone:
👨‍🍳,man_cook,:man_cook:
👨🏻‍🍳,man_cook:light_skin_tone,:man_cook:light_skin_tone:
👨🏼‍🍳,man_cook:medium-light_skin_tone,:man_cook:medium-light_skin_tone:
👨🏽‍🍳,man_cook:medium_skin_tone,:man_cook:medium_skin_tone:
👨🏾‍🍳,man_cook:medium-dark_skin_tone,:man_cook:medium-dark_skin_tone:
👨🏿‍🍳,man_cook:dark_skin_tone,:man_cook:dark_skin_tone:
👩‍🍳,woman_cook,:woman_cook:
👩🏻‍🍳,woman_cook:light_skin_tone,:woman_cook:light_skin_tone:
👩🏼‍🍳,woman_cook:medium-light_skin_tone,:woman_cook:medium-light_skin_tone:
👩🏽‍🍳,woman_cook:medium_skin_tone,:woman_cook:medium_skin_tone:
👩🏾‍🍳,woman_cook:medium-dark_skin_tone,:woman_cook:medium-dark_skin_tone:
👩🏿‍🍳,woman_cook:dark_skin_tone,:woman_cook:dark_skin_tone:
👨‍🔧,man_mechanic,:man_mechanic:
👨🏻‍🔧,man_mechanic:light_skin_tone,:man_mechanic:light_skin_tone:
👨🏼‍🔧,man_mechanic:medium-light_skin_tone,:man_mechanic:medium-light_skin_tone:
👨🏽‍🔧,man_mechanic:medium_skin_tone,:man_mechanic:medium_skin_tone:
👨🏾‍🔧,man_mechanic:medium-dark_skin_tone,:man_mechanic:medium-dark_skin_tone:
👨🏿‍🔧,man_mechanic:dark_skin_tone,:man_mechanic:dark_skin_tone:
👩‍🔧,woman_mechanic,:woman_mechanic:
👩🏻‍🔧,woman_mechanic:light_skin_tone,:woman_mechanic:light_skin_tone:
👩🏼‍🔧,woman_mechanic:medium-light_skin_tone,:woman_mechanic:medium-light_skin_tone:
👩🏽‍🔧,woman_mechanic:medium_skin_tone,:woman_mechanic:medium_skin_tone:
👩🏾‍🔧,woman_mechanic:medium-dark_skin_tone,:woman_mechanic:medium-dark_skin_tone:
👩🏿‍🔧,woman_mechanic:dark_skin_tone,:woman_mechanic:dark_skin_tone:
👨‍🏭,man_factory_worker,:man_factory_worker:
👨🏻‍🏭,man_factory_worker:light_skin_tone,:man_factory_worker:light_skin_tone:
👨🏼‍🏭,man_factory_worker:medium-light_skin_tone,:man_factory_worker:medium-light_skin_tone:
👨🏽‍🏭,man_factory_worker:medium_skin_tone,:man_factory_worker:medium_skin_tone:
👨🏾‍🏭,man_factory_worker:medium-dark_skin_tone,:man_factory_worker:medium-dark_skin_tone:
👨🏿‍🏭,man_factory_worker:dark_skin_tone,:man_factory_worker:dark_skin_tone:
👩‍🏭,woman_factory_worker,:woman_factory_worker:
👩🏻‍🏭,woman_factory_worker:light_skin_tone,:woman_factory_worker:light_skin_tone:
👩🏼‍🏭,woman_factory_worker:medium-light_skin_tone,:woman_factory_worker:medium-light_skin_tone:
👩🏽‍🏭,woman_factory_worker:medium_skin_tone,:woman_factory_worker:medium_skin_tone:
👩🏾‍🏭,woman_factory_worker:medium-dark_skin_tone,:woman_factory_worker:medium-dark_skin_tone:
👩🏿‍🏭,woman_factory_worker:dark_skin_tone,:woman_factory_worker:dark_skin_tone:
👨‍💼,man_office_worker,:man_office_worker:
👨🏻‍💼,man_office_worker:light_skin_tone,:man_office_worker:light_skin_tone:
👨🏼‍💼,man_office_worker:medium-light_skin_tone,:man_office_worker:medium-light_skin_tone:
👨🏽‍💼,man_office_worker:medium_skin_tone,:man_office_worker:medium_skin_tone:
👨🏾‍💼,man_office_worker:medium-dark_skin_tone,:man_office_worker:medium-dark_skin_tone:
👨🏿‍💼,man_office_worker:dark_skin_tone,:man_office_worker:dark_skin_tone:
👩‍💼,woman_office_worker,:woman_office_worker:
👩🏻‍💼,woman_office_worker:light_skin_tone,:woman_office_worker:light_skin_tone:
👩🏼‍💼,woman_office_worker:medium-light_skin_tone,:woman_office_worker:medium-light_skin_tone:
👩🏽‍💼,woman_office_worker:medium_skin_tone,:woman_office_worker:medium_skin_tone:
👩🏾‍💼,woman_office_worker:medium-dark_skin_tone,:woman_office_worker:medium-dark_skin_tone:
👩🏿‍💼,woman_office_worker:dark_skin_tone,:woman_office_worker:dark_skin_tone:
👨‍🔬,man_scientist,:man_scientist:
👨🏻‍🔬,man_scientist:light_skin_tone,:man_scientist:light_skin_tone:
👨🏼‍🔬,man_scientist:medium-light_skin_tone,:man_scientist:medium-light_skin_tone:
👨🏽‍🔬,man_scientist:medium_skin_tone,:man_scientist:medium_skin_tone:
👨🏾‍🔬,man_scientist:medium-dark_skin_tone,:man_scientist:medium-dark_skin_tone:
👨🏿‍🔬,man_scientist:dark_skin_tone,:man_scientist:dark_skin_tone:
👩‍🔬,woman_scientist,:woman_scientist:
👩🏻‍🔬,woman_scientist:light_skin_tone,:woman_scientist:light_skin_tone:
👩🏼‍🔬,woman_scientist:medium-light_skin_tone,:woman_scientist:medium-light_skin_tone:
👩🏽‍🔬,woman_scientist:medium_skin_tone,:woman_scientist:medium_skin_tone:
👩🏾‍🔬,woman_scientist:medium-dark_skin_tone,:woman_scientist:medium-dark_skin_tone:
👩🏿‍🔬,woman_scientist:dark_skin_tone,:woman_scientist:dark_skin_tone:
👨‍💻,man_technologist,:man_technologist:
👨🏻‍💻,man_technologist:light_skin_tone,:man_technologist:light_skin_tone:
👨🏼‍💻,man_technologist:medium-light_skin_tone,:man_technologist:medium-light_skin_tone:
👨🏽‍💻,man_technologist:medium_skin_tone,:man_technologist:medium_skin_tone:
👨🏾‍💻,man_technologist:medium-dark_skin_tone,:man_technologist:medium-dark_skin_tone:
👨🏿‍💻,man_technologist:dark_skin_tone,:man_technologist:dark_skin_tone:
👩‍💻,woman_technologist,:woman_technologist:
👩🏻‍💻,woman_technologist:light_skin_tone,:woman_technologist:light_skin_tone:
👩🏼‍💻,woman_technologist:medium-light_skin_tone,:woman_technologist:medium-light_skin_tone:
👩🏽‍💻,woman_technologist:medium_skin_tone,:woman_technologist:medium_skin_tone:
👩🏾‍💻,woman_technologist:medium-dark_skin_tone,:woman_technologist:medium-dark_skin_tone:
👩🏿‍💻,woman_technologist:dark_skin_tone,:woman_technologist:dark_skin_tone:
👨‍🎤,man_singer,:man_singer:
👨🏻‍🎤,man_singer:light_skin_tone,:man_singer:light_skin_tone:
👨🏼‍🎤,man_singer:medium-light_skin_tone,:man_singer:medium-light_skin_tone:
👨🏽‍🎤,man_singer:medium_skin_tone,:man_singer:medium_skin_tone:
👨🏾‍🎤,man_singer:medium-dark_skin_tone,:man_singer:medium-dark_skin_tone:
👨🏿‍🎤,man_singer:dark_skin_tone,:man_singer:dark_skin_tone:
👩‍🎤,woman_singer,:woman_singer:
👩🏻‍🎤,woman_singer:light_skin_tone,:woman_singer:light_skin_tone:
👩🏼‍🎤,woman_singer:medium-light_skin_tone,:woman_singer:medium-light_skin_tone:
👩🏽‍🎤,woman_singer:medium_skin_tone,:woman_singer:medium_skin_tone:
👩🏾‍🎤,woman_singer:medium-dark_skin_tone,:woman_singer:medium-dark_skin_tone:
👩🏿‍🎤,woman_singer:dark_skin_tone,:woman_singer:dark_skin_tone:
👨‍🎨,man_artist,:man_artist:
👨🏻‍🎨,man_artist:light_skin_tone,:man_artist:light_skin_tone:
👨🏼‍🎨,man_artist:medium-light_skin_tone,:man_artist:medium-light_skin_tone:
👨🏽‍🎨,man_artist:medium_skin_tone,:man_artist:medium_skin_tone:
👨🏾‍🎨,man_artist:medium-dark_skin_tone,:man_artist:medium-dark_skin_tone:
👨🏿‍🎨,man_artist:dark_skin_tone,:man_artist:dark_skin_tone:
👩‍🎨,woman_artist,:woman_artist:
👩🏻‍🎨,woman_artist:light_skin_tone,:woman_artist:light_skin_tone:
👩🏼‍🎨,woman_artist:medium-light_skin_tone,:woman_artist:medium-light_skin_tone:
👩🏽‍🎨,woman_artist:medium_skin_tone,:woman_artist:medium_skin_tone:
👩🏾‍🎨,woman_artist:medium-dark_skin_tone,:woman_artist:medium-dark_skin_tone:
👩🏿‍🎨,woman_artist:dark_skin_tone,:woman_artist:dark_skin_tone:
👨‍✈️,man_pilot,:man_pilot:
👨‍✈,man_pilot,:man_pilot:
👨🏻‍✈️,man_pilot:light_skin_tone,:man_pilot:light_skin_tone:
👨🏻‍✈,man_pilot:light_skin_tone,:man_pilot:light_skin_tone:
👨🏼‍✈️,man_pilot:medium-light_skin_tone,:man_pilot:medium-light_skin_tone:
👨🏼‍✈,man_pilot:medium-light_skin_tone,:man_pilot:medium-light_skin_tone:
👨🏽‍✈️,man_pilot:medium_skin_tone,:man_pilot:medium_skin_tone:
👨🏽‍✈,man_pilot:medium_skin_tone,:man_pilot:medium_skin_tone:
👨🏾‍✈️,man_pilot:medium-dark_skin_tone,:man_pilot:medium-dark_skin_tone:
👨🏾‍✈,man_pilot:medium-dark_skin_tone,:man_pilot:medium-dark_skin_tone:
👨🏿‍✈️,man_pilot:dark_skin_tone,:man_pilot:dark_skin_tone:
👨🏿‍✈,man_pilot:dark_skin_tone,:man_pilot:dark_skin_tone:
👩‍✈️,woman_pilot,:woman_pilot:
👩‍✈,woman_pilot,:woman_pilot:
👩🏻‍✈️,woman_pilot:light_skin_tone,:woman_pilot:light_skin_tone:
👩🏻‍✈,woman_pilot:light_skin_tone,:woman_pilot:light_skin_tone:
👩🏼‍✈️,woman_pilot:medium-light_skin_tone,:woman_pilot:medium-light_skin_tone:
👩🏼‍✈,woman_pilot:medium-light_skin_tone,:woman_pilot:medium-light_skin_tone:
👩🏽‍✈️,woman_pilot:medium_skin_tone,:woman_pilot:medium_skin_tone:
👩🏽‍✈,woman_pilot:medium_skin_tone,:woman_pilot:medium_skin_tone:
👩🏾‍✈️,woman_pilot:medium-dark_skin_tone,:woman_pilot:medium-dark_skin_tone:
👩🏾‍✈,woman_pilot:medium-dark_skin_tone,:woman_pilot:medium-dark_skin_tone:
👩🏿‍✈️,woman_pilot:dark_skin_tone,:woman_pilot:dark_skin_tone:
👩🏿‍✈,woman_pilot:dark_skin_tone,:woman_pilot:dark_skin_tone:
👨‍🚀,man_astronaut,:man_astronaut:
👨🏻‍🚀,man_astronaut:light_skin_tone,:man_astronaut:light_skin_tone:
👨🏼‍🚀,man_astronaut:medium-light_skin_tone,:man_astronaut:medium-light_skin_tone:
👨🏽‍🚀,man_astronaut:medium_skin_tone,:man_astronaut:medium_skin_tone:
👨🏾‍🚀,man_astronaut:medium-dark_skin_tone,:man_astronaut:medium-dark_skin_tone:
👨🏿‍🚀,man_astronaut:dark_skin_tone,:man_astronaut:dark_skin_tone:
👩‍🚀,woman_astronaut,:woman_astronaut:
👩🏻‍🚀,woman_astronaut:light_skin_tone,:woman_astronaut:light_skin_tone:
👩🏼‍🚀,woman_astronaut:medium-light_skin_tone,:woman_astronaut:medium-light_skin_tone:
👩🏽‍🚀,woman_astronaut:medium_skin_tone,:woman_astronaut:medium_skin_tone:
👩🏾‍🚀,woman_astronaut:medium-dark_skin_tone,:woman_astronaut:medium-dark_skin_tone:
👩🏿‍🚀,woman_astronaut:dark_skin_tone,:woman_astronaut:dark_skin_tone:
👨‍🚒,man_firefighter,:man_firefighter:
👨🏻‍🚒,man_firefighter:light_skin_tone,:man_firefighter:light_skin_tone:
👨🏼‍🚒,man_firefighter:medium-light_skin_tone,:man_firefighter:medium-light_skin_tone:
👨🏽‍🚒,man_firefighter:medium_skin_tone,:man_firefighter:medium_skin_tone:
👨🏾‍🚒,man_firefighter:medium-dark_skin_tone,:man_firefighter:medium-dark_skin_tone:
👨🏿‍🚒,man_firefighter:dark_skin_tone,:man_firefighter:dark_skin_tone:
👩‍🚒,woman_firefighter,:woman_firefighter:
👩🏻‍🚒,woman_firefighter:light_skin_tone,:woman_firefighter:light_skin_tone:
